site,impl,n,procs,threads,dist,chunk,run,rank,compute,count
caas-2node,mpi,6000000,8,1,blockcyclic,1024,3,4,0.122629,51578
caas-2node,mpi,6000000,8,1,blockcyclic,1024,3,5,0.123275,51636
caas-2node,mpi,6000000,8,1,blockcyclic,1024,3,6,0.123111,51714
caas-2node,mpi,6000000,8,1,blockcyclic,1024,3,7,0.122517,51693
caas-2node,mpi,6000000,8,1,wblock,1024,1,0,0.141023,114155
caas-2node,mpi,6000000,8,1,wblock,1024,1,1,0.127645,60841
caas-2node,mpi,6000000,8,1,wblock,1024,1,2,0.123476,49857
caas-2node,mpi,6000000,8,1,wblock,1024,1,3,0.120776,43805
caas-2node,mpi,6000000,8,1,wblock,1024,1,4,0.119341,39784
caas-2node,mpi,6000000,8,1,wblock,1024,1,5,0.118101,36982
caas-2node,mpi,6000000,8,1,wblock,1024,1,6,0.116747,34659
caas-2node,mpi,6000000,8,1,wblock,1024,1,7,0.115722,32766
