site,impl,n,procs,threads,dist,chunk,run,rank,compute,count
ryzen7535hs,mpi,20000000,2,1,blockcyclic,1024,2,1,4.057373,634725
ryzen7535hs,mpi,20000000,4,1,blockcyclic,1024,2,0,2.112526,318259
ryzen7535hs,mpi,20000000,4,1,blockcyclic,1024,2,1,2.211974,317708
ryzen7535hs,mpi,20000000,4,1,blockcyclic,1024,2,2,2.210273,317623
ryzen7535hs,mpi,20000000,4,1,blockcyclic,1024,2,3,2.225290,317017
ryzen7535hs,mpi,20000000,8,1,blockcyclic,1024,2,0,1.542907,158977
ryzen7535hs,mpi,20000000,8,1,blockcyclic,1024,2,1,1.474574,158750
ryzen7535hs,mpi,20000000,8,1,blockcyclic,1024,2,2,1.500752,158844
ryzen7535hs,mpi,20000000,8,1,blockcyclic,1024,2,3,1.509284,158584
ryzen7535hs,mpi,20000000,8,1,blockcyclic,1024,2,4,1.576305,159282
ryzen7535hs,mpi,20000000,8,1,blockcyclic,1024,2,5,1.499429,158958
ryzen7535hs,mpi,20000000,8,1,blockcyclic,1024,2,6,1.581315,158779
ryzen7535hs,mpi,20000000,8,1,blockcyclic,1024,2,7,1.443259,158433
ryzen7535hs,mpi,20000000,1,1,wblock,1024,2,0,7.440214,1270607
ryzen7535hs,mpi,20000000,2,1,wblock,1024,2,0,4.197573,824750
ryzen7535hs,mpi,20000000,2,1,wblock,1024,2,1,3.872385,445857
ryzen7535hs,mpi,20000000,4,1,wblock,1024,2,0,2.405562,535821
ryzen7535hs,mpi,20000000,4,1,wblock,1024,2,1,2.153227,288929
ryzen7535hs,mpi,20000000,4,1,wblock,1024,2,2,2.288718,237031
ryzen7535hs,mpi,20000000,4,1,wblock,1024,2,3,2.219064,208826
ryzen7535hs,mpi,20000000,8,1,wblock,1024,2,0,1.589716,348513
ryzen7535hs,mpi,20000000,8,1,wblock,1024,2,1,1.523423,187308
ryzen7535hs,mpi,20000000,8,1,wblock,1024,2,2,1.399071,153590
ryzen7535hs,mpi,20000000,8,1,wblock,1024,2,3,1.399261,135339
ryzen7535hs,mpi,20000000,8,1,wblock,1024,2,4,1.402897,122991
ryzen7535hs,mpi,20000000,8,1,wblock,1024,2,5,1.322620,114040
ryzen7535hs,mpi,20000000,8,1,wblock,1024,2,6,1.379634,107291
ryzen7535hs,mpi,20000000,8,1,wblock,1024,2,7,1.280886,101535
ryzen7535hs,mpi,20000000,1,1,block,1024,3,0,7.259488,1270607
ryzen7535hs,mpi,20000000,2,1,block,1024,3,0,3.083433,664579
ryzen7535hs,mpi,20000000,2,1,block,1024,3,1,4.920146,606028
ryzen7535hs,mpi,20000000,4,1,block,1024,3,0,1.314876,348513
ryzen7535hs,mpi,20000000,4,1,block,1024,3,1,1.986461,316066
ryzen7535hs,mpi,20000000,4,1,block,1024,3,2,2.499792,306125
ryzen7535hs,mpi,20000000,4,1,block,1024,3,3,2.805039,299903
ryzen7535hs,mpi,20000000,8,1,block,1024,3,0,0.554999,183072
ryzen7535hs,mpi,20000000,8,1,block,1024,3,1,0.848400,165441
ryzen7535hs,mpi,20000000,8,1,block,1024,3,2,1.124157,159748
ryzen7535hs,mpi,20000000,8,1,block,1024,3,3,1.251952,156318
ryzen7535hs,mpi,20000000,8,1,block,1024,3,4,1.321252,154124
ryzen7535hs,mpi,20000000,8,1,block,1024,3,5,1.469898,152001
ryzen7535hs,mpi,20000000,8,1,block,1024,3,6,1.531689,150685
ryzen7535hs,mpi,20000000,8,1,block,1024,3,7,1.609188,149218
ryzen7535hs,mpi,20000000,1,1,cyclic,1024,3,0,7.189207,1270607
ryzen7535hs,mpi,20000000,2,1,cyclic,1024,3,0,4.123401,635437
ryzen7535hs,mpi,20000000,2,1,cyclic,1024,3,1,4.119500,635170
ryzen7535hs,mpi,20000000,4,1,cyclic,1024,3,0,2.302944,317769
ryzen7535hs,mpi,20000000,4,1,cyclic,1024,3,1,2.315950,317693
ryzen7535hs,mpi,20000000,4,1,cyclic,1024,3,2,2.250759,317668
ryzen7535hs,mpi,20000000,4,1,cyclic,1024,3,3,2.304839,317477
ryzen7535hs,mpi,20000000,8,1,cyclic,1024,3,0,1.417194,158948
ryzen7535hs,mpi,20000000,8,1,cyclic,1024,3,1,1.358351,158891
ryzen7535hs,mpi,20000000,8,1,cyclic,1024,3,2,1.450385,158835
ryzen7535hs,mpi,20000000,8,1,cyclic,1024,3,3,1.306480,158781
ryzen7535hs,mpi,20000000,8,1,cyclic,1024,3,4,1.345312,158821
ryzen7535hs,mpi,20000000,8,1,cyclic,1024,3,5,1.393171,158802
ryzen7535hs,mpi,20000000,8,1,cyclic,1024,3,6,1.315403,158833
ryzen7535hs,mpi,20000000,8,1,cyclic,1024,3,7,1.357396,158696
ryzen7535hs,mpi,20000000,1,1,blockcyclic,1024,3,0,7.225768,1270607
ryzen7535hs,mpi,20000000,2,1,blockcyclic,1024,3,0,4.272329,635882
ryzen7535hs,mpi,20000000,2,1,blockcyclic,1024,3,1,4.319113,634725
ryzen7535hs,mpi,20000000,4,1,blockcyclic,1024,3,0,2.197728,318259
ryzen7535hs,mpi,20000000,4,1,blockcyclic,1024,3,1,2.132811,317708
ryzen7535hs,mpi,20000000,4,1,blockcyclic,1024,3,2,2.168534,317623
ryzen7535hs,mpi,20000000,4,1,blockcyclic,1024,3,3,2.074488,317017
ryzen7535hs,mpi,20000000,8,1,blockcyclic,1024,3,0,1.333879,158977
ryzen7535hs,mpi,20000000,8,1,blockcyclic,1024,3,1,1.360038,158750
